loc_inst_code,loc_type,x,y,z,width,depth,height,row_num,bay_num,level_num,address_label
A1-00086,A1,850.0,0.0,650.0,120.0,650.0,130.0,1,6,6,R01-B006-L06
A1-00087,A1,850.0,0.0,780.0,120.0,650.0,130.0,1,6,7,R01-B006-L07
A1-00088,A1,850.0,0.0,910.0,120.0,650.0,130.0,1,6,8,R01-B006-L08
A1-00089,A1,850.0,0.0,1040.0,120.0,650.0,130.0,1,6,9,R01-B006-L09
A1-00090,A1,850.0,0.0,1170.0,120.0,650.0,130.0,1,6,10,R01-B006-L10
A1-00091,A1,850.0,0.0,1300.0,120.0,650.0,130.0,1,6,11,R01-B006-L11
A1-00092,A1,850.0,0.0,1430.0,120.0,650.0,130.0,1,6,12,R01-B006-L12
A1-00093,A1,850.0,0.0,1560.0,120.0,650.0,130.0,1,6,13,R01-B006-L13
A1-00094,A1,850.0,0.0,1690.0,120.0,650.0,130.0,1,6,14,R01-B006-L14
A1-00095,A1,850.0,0.0,1820.0,120.0,650.0,130.0,1,6,15,R01-B006-L15
A1-00096,A1,850.0,0.0,1950.0,120.0,650.0,130.0,1,6,16,R01-B006-L16
A1-00097,A1,1020.0,0.0,0.0,120.0,650.0,130.0,1,7,1,R01-B007-L01
A1-00098,A1,1020.0,0.0,130.0,120.0,650.0,130.0,1,7,2,R01-B007-L02
A1-00099,A1,1020.0,0.0,260.0,120.0,650.0,130.0,1,7,3,R01-B007-L03
A1-00100,A1,1020.0,0.0,390.0,120.0,650.0,130.0,1,7,4,R01-B007-L04
A1-00101,A1,1020.0,0.0,520.0,120.0,650.0,130.0,1,7,5,R01-B007-L05
A1-00102,A1,1020.0,0.0,650.0,120.0,650.0,130.0,1,7,6,R01-B007-L06
A1-00103,A1,1020.0,0.0,780.0,120.0,650.0,130.0,1,7,7,R01-B007-L07
A1-00104,A1,1020.0,0.0,910.0,120.0,650.0,130.0,1,7,8,R01-B007-L08
A1-00105,A1,1020.0,0.0,1040.0,120.0,650.0,130.0,1,7,9,R01-B007-L09
A1-00106,A1,1020.0,0.0,1170.0,120.0,650.0,130.0,1,7,10,R01-B007-L10
A1-00107,A1,1020.0,0.0,1300.0,120.0,650.0,130.0,1,7,11,R01-B007-L11
A1-00108,A1,1020.0,0.0,1430.0,120.0,650.0,130.0,1,7,12,R01-B007-L12
A1-00109,A1,1020.0,0.0,1560.0,120.0,650.0,130.0,1,7,13,R01-B007-L13
A1-00110,A1,1020.0,0.0,1690.0,120.0,650.0,130.0,1,7,14,R01-B007-L14
A1-00111,A1,1020.0,0.0,1820.0,120.0,650.0,130.0,1,7,15,R01-B007-L15
A1-00112,A1,1020.0,0.0,1950.0,120.0,650.0,130.0,1,7,16,R01-B007-L16
A1-00113,A1,1190.0,0.0,0.0,120.0,650.0,130.0,1,8,1,R01-B008-L01
A1-00114,A1,1190.0,0.0,130.0,120.0,650.0,130.0,1,8,2,R01-B008-L02
A1-00115,A1,1190.0,0.0,260.0,120.0,650.0,130.0,1,8,3,R01-B008-L03
A1-00116,A1,1190.0,0.0,390.0,120.0,650.0,130.0,1,8,4,R01-B008-L04
A1-00117,A1,1190.0,0.0,520.0,120.0,650.0,130.0,1,8,5,R01-B008-L05
A1-00118,A1,1190.0,0.0,650.0,120.0,650.0,130.0,1,8,6,R01-B008-L06
A1-00119,A1,1190.0,0.0,780.0,120.0,650.0,130.0,1,8,7,R01-B008-L07
A1-00120,A1,1190.0,0.0,910.0,120.0,650.0,130.0,1,8,8,R01-B008-L08
A1-00121,A1,1190.0,0.0,1040.0,120.0,650.0,130.0,1,8,9,R01-B008-L09
A1-00122,A1,1190.0,0.0,1170.0,120.0,650.0,130.0,1,8,10,R01-B008-L10
A1-00123,A1,1190.0,0.0,1300.0,120.0,650.0,130.0,1,8,11,R01-B008-L11
A1-00124,A1,1190.0,0.0,1430.0,120.0,650.0,130.0,1,8,12,R01-B008-L12
A1-00125,A1,1190.0,0.0,1560.0,120.0,650.0,130.0,1,8,13,R01-B008-L13
A1-00126,A1,1190.0,0.0,1690.0,120.0,650.0,130.0,1,8,14,R01-B008-L14
A1-00127,A1,1190.0,0.0,1820.0,120.0,650.0,130.0,1,8,15,R01-B008-L15
A1-00128,A1,1190.0,0.0,1950.0,120.0,650.0,130.0,1,8,16,R01-B008-L16
A1-00129,A1,1360.0,0.0,0.0,120.0,650.0,130.0,1,9,1,R01-B009-L01
A1-00130,A1,1360.0,0.0,130.0,120.0,650.0,130.0,1,9,2,R01-B009-L02
A1-00131,A1,1360.0,0.0,260.0,120.0,650.0,130.0,1,9,3,R01-B009-L03
A1-00132,A1,1360.0,0.0,390.0,120.0,650.0,130.0,1,9,4,R01-B009-L04
A1-00133,A1,1360.0,0.0,520.0,120.0,650.0,130.0,1,9,5,R01-B009-L05
A1-00134,A1,1360.0,0.0,650.0,120.0,650.0,130.0,1,9,6,R01-B009-L06
A1-00135,A1,1360.0,0.0,780.0,120.0,650.0,130.0,1,9,7,R01-B009-L07
A1-00136,A1,1360.0,0.0,910.0,120.0,650.0,130.0,1,9,8,R01-B009-L08
A1-00137,A1,1360.0,0.0,1040.0,120.0,650.0,130.0,1,9,9,R01-B009-L09
A1-00138,A1,1360.0,0.0,1170.0,120.0,650.0,130.0,1,9,10,R01-B009-L10
A1-00139,A1,1360.0,0.0,1300.0,120.0,650.0,130.0,1,9,11,R01-B009-L11
A1-00140,A1,1360.0,0.0,1430.0,120.0,650.0,130.0,1,9,12,R01-B009-L12
A1-00141,A1,1360.0,0.0,1560.0,120.0,650.0,130.0,1,9,13,R01-B009-L13
A1-00142,A1,1360.0,0.0,1690.0,120.0,650.0,130.0,1,9,14,R01-B009-L14
A1-00143,A1,1360.0,0.0,1820.0,120.0,650.0,130.0,1,9,15,R01-B009-L15
A1-00144,A1,1360.0,0.0,1950.0,120.0,650.0,130.0,1,9,16,R01-B009-L16
A1-00145,A1,1530.0,0.0,0.0,120.0,650.0,130.0,1,10,1,R01-B010-L01
A1-00146,A1,1530.0,0.0,130.0,120.0,650.0,130.0,1,10,2,R01-B010-L02
A1-00147,A1,1530.0,0.0,260.0,120.0,650.0,130.0,1,10,3,R01-B010-L03
A1-00148,A1,1530.0,0.0,390.0,120.0,650.0,130.0,1,10,4,R01-B010-L04
A1-00149,A1,1530.0,0.0,520.0,120.0,650.0,130.0,1,10,5,R01-B010-L05
A1-00150,A1,1530.0,0.0,650.0,120.0,650.0,130.0,1,10,6,R01-B010-L06
A1-00151,A1,1530.0,0.0,780.0,120.0,650.0,130.0,1,10,7,R01-B010-L07
A1-00152,A1,1530.0,0.0,910.0,120.0,650.0,130.0,1,10,8,R01-B010-L08
A1-00153,A1,1530.0,0.0,1040.0,120.0,650.0,130.0,1,10,9,R01-B010-L09
A1-00154,A1,1530.0,0.0,1170.0,120.0,650.0,130.0,1,10,10,R01-B010-L10
A1-00155,A1,1530.0,0.0,1300.0,120.0,650.0,130.0,1,10,11,R01-B010-L11
A1-00156,A1,1530.0,0.0,1430.0,120.0,650.0,130.0,1,10,12,R01-B010-L12
A1-00157,A1,1530.0,0.0,1560.0,120.0,650.0,130.0,1,10,13,R01-B010-L13
A1-00158,A1,1530.0,0.0,1690.0,120.0,650.0,130.0,1,10,14,R01-B010-L14
A1-00159,A1,1530.0,0.0,1820.0,120.0,650.0,130.0,1,10,15,R01-B010-L15
A1-00160,A1,1530.0,0.0,1950.0,120.0,650.0,130.0,1,10,16,R01-B010-L16
A1-00161,A1,1700.0,0.0,0.0,120.0,650.0,130.0,1,11,1,R01-B011-L01
A1-00162,A1,1700.0,0.0,130.0,120.0,650.0,130.0,1,11,2,R01-B011-L02
A1-00163,A1,1700.0,0.0,260.0,120.0,650.0,130.0,1,11,3,R01-B011-L03
A1-00164,A1,1700.0,0.0,390.0,120.0,650.0,130.0,1,11,4,R01-B011-L04
A1-00165,A1,1700.0,0.0,520.0,120.0,650.0,130.0,1,11,5,R01-B011-L05
A1-00166,A1,1700.0,0.0,650.0,120.0,650.0,130.0,1,11,6,R01-B011-L06
A1-00167,A1,1700.0,0.0,780.0,120.0,650.0,130.0,1,11,7,R01-B011-L07
A1-00168,A1,1700.0,0.0,910.0,120.0,650.0,130.0,1,11,8,R01-B011-L08
A1-00169,A1,1700.0,0.0,1040.0,120.0,650.0,130.0,1,11,9,R01-B011-L09
A1-00170,A1,1700.0,0.0,1170.0,120.0,650.0,130.0,1,11,10,R01-B011-L10
A1-00171,A1,1700.0,0.0,1300.0,120.0,650.0,130.0,1,11,11,R01-B011-L11
A1-00172,A1,1700.0,0.0,1430.0,120.0,650.0,130.0,1,11,12,R01-B011-L12
A1-00173,A1,1700.0,0.0,1560.0,120.0,650.0,130.0,1,11,13,R01-B011-L13
A1-00174,A1,1700.0,0.0,1690.0,120.0,650.0,130.0,1,11,14,R01-B011-L14
A1-00175,A1,1700.0,0.0,1820.0,120.0,650.0,130.0,1,11,15,R01-B011-L15
A1-00176,A1,1700.0,0.0,1950.0,120.0,650.0,130.0,1,11,16,R01-B011-L16
A1-00177,A1,1870.0,0.0,0.0,120.0,650.0,130.0,1,12,1,R01-B012-L01
A1-00178,A1,1870.0,0.0,130.0,120.0,650.0,130.0,1,12,2,R01-B012-L02
A1-00179,A1,1870.0,0.0,260.0,120.0,650.0,130.0,1,12,3,R01-B012-L03
A1-00180,A1,1870.0,0.0,390.0,120.0,650.0,130.0,1,12,4,R01-B012-L04
A1-00181,A1,1870.0,0.0,520.0,120.0,650.0,130.0,1,12,5,R01-B012-L05
A1-00182,A1,1870.0,0.0,650.0,120.0,650.0,130.0,1,12,6,R01-B012-L06
A1-00183,A1,1870.0,0.0,780.0,120.0,650.0,130.0,1,12,7,R01-B012-L07
A1-00184,A1,1870.0,0.0,910.0,120.0,650.0,130.0,1,12,8,R01-B012-L08
A1-00185,A1,1870.0,0.0,1040.0,120.0,650.0,130.0,1,12,9,R01-B012-L09
A1-00186,A1,1870.0,0.0,1170.0,120.0,650.0,130.0,1,12,10,R01-B012-L10
A1-00187,A1,1870.0,0.0,1300.0,120.0,650.0,130.0,1,12,11,R01-B012-L11
A1-00188,A1,1870.0,0.0,1430.0,120.0,650.0,130.0,1,12,12,R01-B012-L12
A1-00189,A1,1870.0,0.0,1560.0,120.0,650.0,130.0,1,12,13,R01-B012-L13
A1-00190,A1,1870.0,0.0,1690.0,120.0,650.0,130.0,1,12,14,R01-B012-L14
A1-00191,A1,1870.0,0.0,1820.0,120.0,650.0,130.0,1,12,15,R01-B012-L15
A1-00192,A1,1870.0,0.0,1950.0,120.0,650.0,130.0,1,12,16,R01-B012-L16
A1-00193,A1,2040.0,0.0,0.0,120.0,650.0,130.0,1,13,1,R01-B013-L01
A1-00194,A1,2040.0,0.0,130.0,120.0,650.0,130.0,1,13,2,R01-B013-L02
A1-00195,A1,2040.0,0.0,260.0,120.0,650.0,130.0,1,13,3,R01-B013-L03
A1-00196,A1,2040.0,0.0,390.0,120.0,650.0,130.0,1,13,4,R01-B013-L04
A1-00197,A1,2040.0,0.0,520.0,120.0,650.0,130.0,1,13,5,R01-B013-L05
A1-00198,A1,2040.0,0.0,650.0,120.0,650.0,130.0,1,13,6,R01-B013-L06
A1-00199,A1,2040.0,0.0,780.0,120.0,650.0,130.0,1,13,7,R01-B013-L07
A1-00200,A1,2040.0,0.0,910.0,120.0,650.0,130.0,1,13,8,R01-B013-L08
A1-00201,A1,2040.0,0.0,1040.0,120.0,650.0,130.0,1,13,9,R01-B013-L09
A1-00202,A1,2040.0,0.0,1170.0,120.0,650.0,130.0,1,13,10,R01-B013-L10
A1-00203,A1,2040.0,0.0,1300.0,120.0,650.0,130.0,1,13,11,R01-B013-L11
A1-00204,A1,2040.0,0.0,1430.0,120.0,650.0,130.0,1,13,12,R01-B013-L12
A1-00205,A1,2040.0,0.0,1560.0,120.0,650.0,130.0,1,13,13,R01-B013-L13
A1-00206,A1,2040.0,0.0,1690.0,120.0,650.0,130.0,1,13,14,R01-B013-L14
A1-00207,A1,2040.0,0.0,1820.0,120.0,650.0,130.0,1,13,15,R01-B013-L15
A1-00208,A1,2040.0,0.0,1950.0,120.0,650.0,130.0,1,13,16,R01-B013-L16
A1-00209,A1,2210.0,0.0,0.0,120.0,650.0,130.0,1,14,1,R01-B014-L01
A1-00210,A1,2210.0,0.0,130.0,120.0,650.0,130.0,1,14,2,R01-B014-L02
A1-00211,A1,2210.0,0.0,260.0,120.0,650.0,130.0,1,14,3,R01-B014-L03
A1-00212,A1,2210.0,0.0,390.0,120.0,650.0,130.0,1,14,4,R01-B014-L04
A1-00213,A1,2210.0,0.0,520.0,120.0,650.0,130.0,1,14,5,R01-B014-L05
A1-00214,A1,2210.0,0.0,650.0,120.0,650.0,130.0,1,14,6,R01-B014-L06
A1-00215,A1,2210.0,0.0,780.0,120.0,650.0,130.0,1,14,7,R01-B014-L07
A1-00216,A1,2210.0,0.0,910.0,120.0,650.0,130.0,1,14,8,R01-B014-L08
A1-00217,A1,2210.0,0.0,1040.0,120.0,650.0,130.0,1,14,9,R01-B014-L09
A1-00218,A1,2210.0,0.0,1170.0,120.0,650.0,130.0,1,14,10,R01-B014-L10
A1-00219,A1,2210.0,0.0,1300.0,120.0,650.0,130.0,1,14,11,R01-B014-L11
A1-00220,A1,2210.0,0.0,1430.0,120.0,650.0,130.0,1,14,12,R01-B014-L12
A1-00221,A1,2210.0,0.0,1560.0,120.0,650.0,130.0,1,14,13,R01-B014-L13
A1-00222,A1,2210.0,0.0,1690.0,120.0,650.0,130.0,1,14,14,R01-B014-L14
A1-00223,A1,2210.0,0.0,1820.0,120.0,650.0,130.0,1,14,15,R01-B014-L15
A1-00224,A1,2210.0,0.0,1950.0,120.0,650.0,130.0,1,14,16,R01-B014-L16
A1-00225,A1,2380.0,0.0,0.0,120.0,650.0,130.0,1,15,1,R01-B015-L01
A1-00226,A1,2380.0,0.0,130.0,120.0,650.0,130.0,1,15,2,R01-B015-L02
A1-00227,A1,2380.0,0.0,260.0,120.0,650.0,130.0,1,15,3,R01-B015-L03
A1-00228,A1,2380.0,0.0,390.0,120.0,650.0,130.0,1,15,4,R01-B015-L04
A1-00229,A1,2380.0,0.0,520.0,120.0,650.0,130.0,1,15,5,R01-B015-L05
A1-00230,A1,2380.0,0.0,650.0,120.0,650.0,130.0,1,15,6,R01-B015-L06
A1-00231,A1,2380.0,0.0,780.0,120.0,650.0,130.0,1,15,7,R01-B015-L07
A1-00232,A1,2380.0,0.0,910.0,120.0,650.0,130.0,1,15,8,R01-B015-L08
A1-00233,A1,2380.0,0.0,1040.0,120.0,650.0,130.0,1,15,9,R01-B015-L09
A1-00234,A1,2380.0,0.0,1170.0,120.0,650.0,130.0,1,15,10,R01-B015-L10
A1-00235,A1,2380.0,0.0,1300.0,120.0,650.0,130.0,1,15,11,R01-B015-L11
A1-00236,A1,2380.0,0.0,1430.0,120.0,650.0,130.0,1,15,12,R01-B015-L12
A1-00237,A1,2380.0,0.0,1560.0,120.0,650.0,130.0,1,15,13,R01-B015-L13
A1-00238,A1,2380.0,0.0,1690.0,120.0,650.0,130.0,1,15,14,R01-B015-L14
A1-00239,A1,2380.0,0.0,1820.0,120.0,650.0,130.0,1,15,15,R01-B015-L15
A1-00240,A1,2380.0,0.0,1950.0,120.0,650.0,130.0,1,15,16,R01-B015-L16
A1-00241,A1,2550.0,0.0,0.0,120.0,650.0,130.0,1,16,1,R01-B016-L01
A1-00242,A1,2550.0,0.0,130.0,120.0,650.0,130.0,1,16,2,R01-B016-L02
A1-00243,A1,2550.0,0.0,260.0,120.0,650.0,130.0,1,16,3,R01-B016-L03
A1-00244,A1,2550.0,0.0,390.0,120.0,650.0,130.0,1,16,4,R01-B016-L04
A1-00245,A1,2550.0,0.0,520.0,120.0,650.0,130.0,1,16,5,R01-B016-L05
A1-00246,A1,2550.0,0.0,650.0,120.0,650.0,130.0,1,16,6,R01-B016-L06
A1-00247,A1,2550.0,0.0,780.0,120.0,650.0,130.0,1,16,7,R01-B016-L07
A1-00248,A1,2550.0,0.0,910.0,120.0,650.0,130.0,1,16,8,R01-B016-L08
A1-00249,A1,2550.0,0.0,1040.0,120.0,650.0,130.0,1,16,9,R01-B016-L09
A1-00250,A1,2550.0,0.0,1170.0,120.0,650.0,130.0,1,16,10,R01-B016-L10
A1-00251,A1,2550.0,0.0,1300.0,120.0,650.0,130.0,1,16,11,R01-B016-L11
A1-00252,A1,2550.0,0.0,1430.0,120.0,650.0,130.0,1,16,12,R01-B016-L12
A1-00253,A1,2550.0,0.0,1560.0,120.0,650.0,130.0,1,16,13,R01-B016-L13
A1-00254,A1,2550.0,0.0,1690.0,120.0,650.0,130.0,1,16,14,R01-B016-L14
A1-00255,A1,2550.0,0.0,1820.0,120.0,650.0,130.0,1,16,15,R01-B016-L15
A1-00256,A1,2550.0,0.0,1950.0,120.0,650.0,130.0,1,16,16,R01-B016-L16
A1-00257,A1,2720.0,0.0,0.0,120.0,650.0,130.0,1,17,1,R01-B017-L01
A1-00258,A1,2720.0,0.0,130.0,120.0,650.0,130.0,1,17,2,R01-B017-L02
A1-00259,A1,2720.0,0.0,260.0,120.0,650.0,130.0,1,17,3,R01-B017-L03
A1-00260,A1,2720.0,0.0,390.0,120.0,650.0,130.0,1,17,4,R01-B017-L04
A1-00261,A1,2720.0,0.0,520.0,120.0,650.0,130.0,1,17,5,R01-B017-L05
A1-00262,A1,2720.0,0.0,650.0,120.0,650.0,130.0,1,17,6,R01-B017-L06
A1-00263,A1,2720.0,0.0,780.0,120.0,650.0,130.0,1,17,7,R01-B017-L07
A1-00264,A1,2720.0,0.0,910.0,120.0,650.0,130.0,1,17,8,R01-B017-L08
A1-00265,A1,2720.0,0.0,1040.0,120.0,650.0,130.0,1,17,9,R01-B017-L09
A1-00266,A1,2720.0,0.0,1170.0,120.0,650.0,130.0,1,17,10,R01-B017-L10
A1-00267,A1,2720.0,0.0,1300.0,120.0,650.0,130.0,1,17,11,R01-B017-L11
A1-00268,A1,2720.0,0.0,1430.0,120.0,650.0,130.0,1,17,12,R01-B017-L12
A1-00269,A1,2720.0,0.0,1560.0,120.0,650.0,130.0,1,17,13,R01-B017-L13
A1-00270,A1,2720.0,0.0,1690.0,120.0,650.0,130.0,1,17,14,R01-B017-L14
A1-00271,A1,2720.0,0.0,1820.0,120.0,650.0,130.0,1,17,15,R01-B017-L15
A1-00272,A1,2720.0,0.0,1950.0,120.0,650.0,130.0,1,17,16,R01-B017-L16
A1-00273,A1,2890.0,0.0,0.0,120.0,650.0,130.0,1,18,1,R01-B018-L01
A1-00274,A1,2890.0,0.0,130.0,120.0,650.0,130.0,1,18,2,R01-B018-L02
A1-00275,A1,2890.0,0.0,260.0,120.0,650.0,130.0,1,18,3,R01-B018-L03
A1-00276,A1,2890.0,0.0,390.0,120.0,650.0,130.0,1,18,4,R01-B018-L04
A1-00277,A1,2890.0,0.0,520.0,120.0,650.0,130.0,1,18,5,R01-B018-L05
A1-00278,A1,2890.0,0.0,650.0,120.0,650.0,130.0,1,18,6,R01-B018-L06
A1-00279,A1,2890.0,0.0,780.0,120.0,650.0,130.0,1,18,7,R01-B018-L07
A1-00280,A1,2890.0,0.0,910.0,120.0,650.0,130.0,1,18,8,R01-B018-L08
A1-00281,A1,2890.0,0.0,1040.0,120.0,650.0,130.0,1,18,9,R01-B018-L09
A1-00282,A1,2890.0,0.0,1170.0,120.0,650.0,130.0,1,18,10,R01-B018-L10
A1-00283,A1,2890.0,0.0,1300.0,120.0,650.0,130.0,1,18,11,R01-B018-L11
