ITEM_ID;WT_KG;DEMAND;LEN_MM;WID_MM;DEP_MM
37168684;1.041;62;448.2;282.9;126.6
21440148;8.251;10;483.6;218.9;113.0
32617613;1.319;70;168.8;112.5;70.3
93067069;10.128;1;806.4;362.6;194.1
93591537;5.662;4;318.9;269.9;189.3
76048279;3.119;1;490.5;354.4;70.9
47309733;7.798;6;334.6;247.1;127.1
42941100;0.729;1;109.1;109.1;44.9
92178924;1.474;4;160.7;160.7;41.8
43974882;3.249;11;416.3;231.8;54.4
52414844;0.794;6;223.0;142.0;85.5
29240479;1.177;3;99.8;99.8;86.6
60148449;2.676;4;300.4;116.3;116.3
40039189;3.91;1;463.6;183.3;64.4
64952599;0.363;1;65.1;65.1;62.8
60089872;6.297;1;614.9;526.7;212.0
51245995;0.771;0;93.5;93.5;64.6
74584941;0.285;1;84.9;84.9;84.9
36947254;0.282;5;208.3;113.3;98.7
95187841;6.506;1;338.0;166.7;84.6
73071970;1.379;4;424.4;201.2;133.0
78300615;6.941;45;570.9;420.1;121.4
68274321;0.305;2;60.7;60.7;60.7
42876584;10.937;9;893.8;257.8;220.5
31253023;0.885;6;138.9;138.9;33.6
30780591;1.376;1;225.1;186.9;47.6
48587978;0.195;1;53.5;53.5;49.8
83650076;1.59;26;242.8;156.0;72.2
76374767;0.282;0;66.9;66.9;66.9
50570900;1.17;0;305.6;135.1;135.1
15360288;0.622;0;209.8;111.2;56.8
95162135;2.375;0;240.8;172.7;65.5
84159137;0.808;2;175.6;167.5;112.2
89402669;5.986;2;320.8;120.8;120.8
30072139;2.323;1;179.5;123.4;76.8
23905204;8.278;1;392.1;304.0;60.8
58628729;2.12;24;237.8;150.3;78.4
96628795;2.154;7;243.4;162.2;40.0
17792001;3.547;2;302.2;140.9;61.0
62831241;0.286;3;143.3;82.9;66.1
24440529;1.483;0;239.3;146.9;61.9
81711465;1.226;1;157.9;157.9;91.8
48589656;0.142;0;224.1;110.5;88.2
29254602;0.103;100;42.3;42.3;42.3
94516277;4.486;28;499.2;368.2;140.0
78650145;5.183;1;401.3;182.7;51.8
62410739;6.356;12;308.6;308.6;191.8
56054473;0.212;5;145.4;145.4;79.1
77126985;1.316;0;300.7;264.8;103.8
10318298;1.658;16;149.6;149.6;67.9
39465737;15.825;5;1019.7;458.4;91.7
87163795;10.27;61;541.6;162.9;162.9
70101732;2.236;11;399.8;166.1;166.1
87284085;1.475;1;424.9;106.2;106.2
33709964;0.11;6;43.2;43.2;43.2
60865452;2.318;30;267.1;169.8;63.8
32777719;1.775;0;426.5;106.6;106.6
51592968;7.891;0;628.4;157.1;58.6
