loc_inst_code,LOCATION_TYPE,ITEM_ID,QTY_ALLOCATED,MAX_UNITS,GRID_X,GRID_Y,GRID_Z,FULL_LAYERS,PARTIAL_UNITS,ORIENT_X_MM,ORIENT_Y_MM,ORIENT_Z_MM,LOCATION_VOL_MM3,LOCATION_VOL_M3,STORED_VOL_M3,UTILIZATION_PCT
A1-00067,A1,69744184,15,144,3,16,3,0,15,39.7,39.7,39.7,10140000.0,0.0,0.0,9.3
A1-00068,A1,17091400,1,4,1,2,2,0,1,87.7,264.3,61.4,10140000.0,0.0,0.0,14.0
A1-00073,A1,85692352,5,56,2,14,2,0,5,45.6,45.6,45.6,10140000.0,0.0,0.0,4.7
A1-00076,A1,55872560,2,2,1,2,1,1,0,91.6,235.3,114.2,10140000.0,0.0,0.0,48.5
A1-00079,A1,69594039,2,2,1,2,1,1,0,116.9,285.8,116.9,10140000.0,0.0,0.0,77.0
A1-00082,A1,11843910,9,9,1,9,1,1,0,116.1,71.5,76.4,10140000.0,0.0,0.0,56.3
A1-00094,A1,43676799,1,7,1,7,1,0,1,87.6,83.2,83.2,10140000.0,0.0,0.0,6.0
A1-00095,A1,21897191,3,3,1,3,1,1,0,114.3,204.4,114.3,10140000.0,0.0,0.0,79.0
A1-00096,A1,96196417,3,3,1,3,1,1,0,65.6,182.5,65.6,10140000.0,0.0,0.0,23.2
A1-00107,A1,96196417,3,3,1,3,1,1,0,65.6,182.5,65.6,10140000.0,0.0,0.0,23.2
A1-00112,A1,44870648,2,2,1,2,1,1,0,71.6,234.7,71.6,10140000.0,0.0,0.0,23.7
A1-00113,A1,34978030,2,153,3,17,3,0,2,38.2,38.2,38.2,10140000.0,0.0,0.0,1.1
A1-00117,A1,94602868,2,2,1,1,2,2,0,109.3,361.0,63.2,10140000.0,0.0,0.0,49.2
A1-00122,A1,48798948,7,56,2,14,2,0,7,45.7,45.7,45.7,10140000.0,0.0,0.0,6.6
A1-00126,A1,54525097,3,24,1,8,3,0,3,86.7,75.9,42.6,10140000.0,0.0,0.0,8.3
A1-00127,A1,37347901,2,2,1,2,1,1,0,104.9,296.5,104.9,10140000.0,0.0,0.0,64.4
A1-00129,A1,53583090,5,144,3,16,3,0,5,39.3,39.3,39.3,10140000.0,0.0,0.0,3.0
A1-00131,A1,51815452,1,2,1,2,1,0,1,70.3,258.3,102.9,10140000.0,0.0,0.0,18.4
A1-00138,A1,20936897,3,3,1,3,1,1,0,91.3,168.1,115.2,10140000.0,0.0,0.0,52.3
A1-00141,A1,32334896,2,2,1,2,1,1,0,102.6,240.7,113.5,10140000.0,0.0,0.0,55.3
A1-00142,A1,74405887,1,1,1,1,1,1,0,115.8,463.1,115.8,10140000.0,0.0,0.0,61.2
A1-00144,A1,89287417,8,8,1,8,1,1,0,80.2,80.2,80.2,10140000.0,0.0,0.0,40.7
A1-00148,A1,92855113,4,4,2,2,1,1,0,57.0,227.5,78.5,10140000.0,0.0,0.0,40.2
A1-00149,A1,88287546,2,2,1,2,1,1,0,65.3,261.3,65.3,10140000.0,0.0,0.0,22.0
A1-00153,A1,84561481,1,1,1,1,1,1,0,113.0,377.3,113.0,10140000.0,0.0,0.0,47.5
A1-00156,A1,45370232,10,10,1,10,1,1,0,118.8,61.0,118.8,10140000.0,0.0,0.0,84.9
A1-00161,A1,45570709,2,2,1,2,1,1,0,101.8,252.3,127.7,10140000.0,0.0,0.0,64.7
A1-00164,A1,88686507,4,6,2,3,1,0,4,58.2,179.0,68.4,10140000.0,0.0,0.0,28.1
A1-00168,A1,34252733,3,12,1,12,1,0,3,105.9,52.6,105.9,10140000.0,0.0,0.0,17.5
A1-00170,A1,25851877,2,2,1,2,1,1,0,101.8,306.1,115.7,10140000.0,0.0,0.0,71.1
A1-00172,A1,68387152,2,4,1,4,1,0,2,95.6,141.8,95.6,10140000.0,0.0,0.0,25.6
A1-00173,A1,21897191,3,3,1,3,1,1,0,114.3,204.4,114.3,10140000.0,0.0,0.0,79.0
A1-00176,A1,49718551,4,4,1,4,1,1,0,60.5,158.5,129.5,10140000.0,0.0,0.0,49.0
A1-00181,A1,81988748,2,48,2,12,2,0,2,52.7,52.7,52.7,10140000.0,0.0,0.0,2.9
A1-00183,A1,31243561,1,1,1,1,1,1,0,97.0,433.7,108.4,10140000.0,0.0,0.0,45.0
A1-00192,A1,31243561,1,1,1,1,1,1,0,97.0,433.7,108.4,10140000.0,0.0,0.0,45.0
A1-00196,A1,38156757,1,7,1,7,1,0,1,82.8,82.8,82.8,10140000.0,0.0,0.0,5.6
A1-00198,A1,22515923,1,6,1,3,2,0,1,61.6,212.7,61.6,10140000.0,0.0,0.0,8.0
A1-00206,A1,68115412,1,1,1,1,1,1,0,69.8,429.7,107.4,10140000.0,0.0,0.0,31.8
A1-00208,A1,70914283,1,5,1,5,1,0,1,117.6,113.7,117.6,10140000.0,0.0,0.0,15.5
A1-00210,A1,84286823,5,9,1,3,3,1,2,115.3,206.2,42.9,10140000.0,0.0,0.0,50.3
A1-00211,A1,21085466,3,3,1,3,1,1,0,104.3,162.8,104.3,10140000.0,0.0,0.0,52.4
A1-00214,A1,70014196,1,9,1,9,1,0,1,93.5,66.7,93.5,10140000.0,0.0,0.0,5.8
A1-00215,A1,51858172,1,11,1,11,1,0,1,119.8,54.6,119.8,10140000.0,0.0,0.0,7.7
A1-00221,A1,22306157,1,9,1,9,1,0,1,68.2,68.2,68.2,10140000.0,0.0,0.0,3.1
A1-00228,A1,26351500,3,3,1,3,1,1,0,96.9,196.1,96.9,10140000.0,0.0,0.0,54.5
A1-00229,A1,99018245,1,4,2,2,1,0,1,45.7,266.7,105.5,10140000.0,0.0,0.0,12.7
A1-00230,A1,98314138,9,9,1,9,1,1,0,91.5,67.7,91.5,10140000.0,0.0,0.0,50.3
A1-00231,A1,84197065,3,16,1,8,2,0,3,76.2,76.2,47.6,10140000.0,0.0,0.0,8.2
A1-00232,A1,60098010,1,1,1,1,1,1,0,107.8,431.2,107.8,10140000.0,0.0,0.0,49.4
A1-00233,A1,95144287,1,40,2,10,2,0,1,57.8,62.4,62.4,10140000.0,0.0,0.0,2.2
A1-00234,A1,61632518,1,2,1,2,1,0,1,78.7,235.3,119.4,10140000.0,0.0,0.0,21.8
A1-00239,A1,91063244,1,14,1,7,2,0,1,84.5,84.5,56.9,10140000.0,0.0,0.0,4.0
A1-00245,A1,16993558,7,7,1,7,1,1,0,90.1,90.1,90.1,10140000.0,0.0,0.0,50.5
A1-00247,A1,48282819,1,48,2,12,2,0,1,50.1,50.1,50.1,10140000.0,0.0,0.0,1.2
A1-00249,A1,81348577,1,2,1,2,1,0,1,85.1,240.9,85.1,10140000.0,0.0,0.0,17.2
A1-00259,A1,25611782,10,96,2,16,3,0,10,40.2,40.2,40.2,10140000.0,0.0,0.0,6.4
A1-00260,A1,63044558,1,18,1,18,1,0,1,119.5,34.7,119.5,10140000.0,0.0,0.0,4.9
A1-00261,A1,68175500,3,8,2,4,1,0,3,46.2,132.9,118.1,10140000.0,0.0,0.0,21.5
A1-00270,A1,37347901,2,2,1,2,1,1,0,104.9,296.5,104.9,10140000.0,0.0,0.0,64.4
A1-00277,A1,34068374,6,8,1,8,1,0,6,75.3,72.9,72.9,10140000.0,0.0,0.0,23.7
A1-00280,A1,88287546,2,2,1,2,1,1,0,65.3,261.3,65.3,10140000.0,0.0,0.0,22.0
A1-00287,A1,14193200,3,3,1,3,1,1,0,67.4,195.8,67.4,10140000.0,0.0,0.0,26.3
A1-00296,A1,96936936,5,5,1,5,1,1,0,69.2,126.2,126.2,10140000.0,0.0,0.0,54.3
A1-00301,A1,68409906,5,5,1,5,1,1,0,94.7,120.9,120.9,10140000.0,0.0,0.0,68.3
A1-00308,A1,49894142,30,90,2,15,3,1,0,40.7,40.7,40.7,10140000.0,0.0,0.0,19.9
A1-00309,A1,32866614,5,7,1,7,1,0,5,94.4,90.8,94.4,10140000.0,0.0,0.0,39.9
A1-00312,A1,92994676,8,8,1,8,1,1,0,79.2,79.2,79.2,10140000.0,0.0,0.0,39.2
A1-00313,A1,41246660,4,6,2,3,1,0,4,45.3,172.5,76.6,10140000.0,0.0,0.0,23.6
A1-00315,A1,29330890,2,2,1,2,1,1,0,102.2,256.8,102.2,10140000.0,0.0,0.0,52.9
A1-00332,A1,72985085,3,3,1,3,1,1,0,93.0,183.4,93.0,10140000.0,0.0,0.0,46.9
A1-00343,A1,51918154,1,18,3,3,2,0,1,34.7,164.6,62.2,10140000.0,0.0,0.0,3.5
A1-00346,A1,88287546,2,2,1,2,1,1,0,65.3,261.3,65.3,10140000.0,0.0,0.0,22.0
A1-00358,A1,13604404,1,1,1,1,1,1,0,113.4,325.4,113.4,10140000.0,0.0,0.0,41.3
A1-00359,A1,58715777,6,6,1,6,1,1,0,115.9,105.9,105.9,10140000.0,0.0,0.0,76.9
A1-00369,A1,33866694,1,8,2,4,1,0,1,49.6,148.0,111.0,10140000.0,0.0,0.0,8.0
A1-00372,A1,56897799,2,2,1,2,1,1,0,89.3,241.4,89.3,10140000.0,0.0,0.0,38.0
A1-00374,A1,94602868,2,2,1,1,2,2,0,109.3,361.0,63.2,10140000.0,0.0,0.0,49.2
A1-00376,A1,72758854,16,24,1,8,3,2,0,78.2,78.2,41.3,10140000.0,0.0,0.0,39.9
A1-00377,A1,35109273,4,4,1,2,2,2,0,64.1,227.6,64.1,10140000.0,0.0,0.0,36.9
A1-00380,A1,63633384,1,1,1,1,1,1,0,107.4,451.3,120.0,10140000.0,0.0,0.0,57.4
A1-00384,A1,59784218,10,14,1,7,2,1,3,89.8,89.8,49.5,10140000.0,0.0,0.0,39.4
A1-00387,A1,21085466,3,3,1,3,1,1,0,104.3,162.8,104.3,10140000.0,0.0,0.0,52.4
A1-00391,A1,80461821,8,8,1,8,1,1,0,91.8,79.7,88.3,10140000.0,0.0,0.0,51.0
A1-00394,A1,20005117,2,2,1,2,1,1,0,76.4,243.2,76.4,10140000.0,0.0,0.0,28.0
A1-00395,A1,36917610,2,4,1,4,1,0,2,72.9,131.7,81.1,10140000.0,0.0,0.0,15.4
A1-00399,A1,44275817,9,9,1,9,1,1,0,71.0,68.8,71.0,10140000.0,0.0,0.0,30.8
A1-00404,A1,81997924,3,4,1,2,2,1,1,60.8,230.7,60.8,10140000.0,0.0,0.0,25.2
A1-00406,A1,41718538,3,3,1,3,1,1,0,68.1,200.2,68.1,10140000.0,0.0,0.0,27.5
A1-00409,A1,90186985,1,9,1,9,1,0,1,67.2,67.2,67.2,10140000.0,0.0,0.0,3.0
A1-00411,A1,23329712,1,6,1,3,2,0,1,108.7,194.0,60.5,10140000.0,0.0,0.0,12.6
A1-00412,A1,69343444,1,2,1,2,1,0,1,83.6,256.7,102.5,10140000.0,0.0,0.0,21.7
A1-00413,A1,29516562,2,2,1,2,1,1,0,84.1,306.4,84.1,10140000.0,0.0,0.0,42.7
A1-00417,A1,26391885,4,4,2,2,1,1,0,52.2,230.1,126.5,10140000.0,0.0,0.0,59.9
A1-00418,A1,11414623,2,2,2,1,1,1,0,55.6,347.8,87.6,10140000.0,0.0,0.0,33.4
A1-00424,A1,30364812,1,52,2,13,2,0,1,49.3,49.3,49.3,10140000.0,0.0,0.0,1.2
A1-00425,A1,34662365,1,48,2,12,2,0,1,52.5,52.5,52.5,10140000.0,0.0,0.0,1.4
A1-00431,A1,48958687,2,9,3,3,1,0,2,38.4,169.1,85.4,10140000.0,0.0,0.0,10.9
A1-00434,A1,21604146,4,153,3,17,3,0,4,36.3,36.3,36.3,10140000.0,0.0,0.0,1.9
A1-00441,A1,76364562,2,12,2,3,2,0,2,58.1,211.2,61.7,10140000.0,0.0,0.0,14.9
A1-00442,A1,71615383,2,2,1,2,1,1,0,74.8,228.8,74.8,10140000.0,0.0,0.0,25.2
A1-00443,A1,61884532,2,16,1,8,2,0,2,79.6,78.4,61.3,10140000.0,0.0,0.0,7.5
A1-00445,A1,74460545,1,8,1,8,1,0,1,97.4,79.0,85.6,10140000.0,0.0,0.0,6.5
A1-00446,A1,38550455,1,6,1,6,1,0,1,99.1,99.1,99.1,10140000.0,0.0,0.0,9.6
A1-00447,A1,82340180,1,8,2,4,1,0,1,48.6,132.8,122.0,10140000.0,0.0,0.0,7.8
A1-00453,A1,74405887,1,1,1,1,1,1,0,115.8,463.1,115.8,10140000.0,0.0,0.0,61.2
A1-00458,A1,80461821,8,8,1,8,1,1,0,91.8,79.7,88.3,10140000.0,0.0,0.0,51.0
A1-00460,A1,17259944,2,8,1,8,1,0,2,73.5,73.5,73.5,10140000.0,0.0,0.0,7.8
A1-00466,A1,51040412,3,4,1,4,1,0,3,81.8,150.2,81.8,10140000.0,0.0,0.0,29.7
A1-00472,A1,88287546,2,2,1,2,1,1,0,65.3,261.3,65.3,10140000.0,0.0,0.0,22.0
A1-00474,A1,98934961,1,1,1,1,1,1,0,111.1,444.5,111.1,10140000.0,0.0,0.0,54.1
A1-00481,A1,72985085,3,3,1,3,1,1,0,93.0,183.4,93.0,10140000.0,0.0,0.0,46.9
A1-00484,A1,46140127,1,8,2,4,1,0,1,48.0,159.4,94.6,10140000.0,0.0,0.0,7.1
A1-00486,A1,54263144,1,20,1,10,2,0,1,61.0,61.0,61.0,10140000.0,0.0,0.0,2.2
A1-00489,A1,24973683,1,2,1,2,1,0,1,78.5,240.9,120.1,10140000.0,0.0,0.0,22.4
A1-00490,A1,44622196,9,16,1,8,2,1,1,77.4,77.4,54.6,10140000.0,0.0,0.0,29.0
A1-00493,A1,50039967,2,8,2,4,1,0,2,45.2,143.0,111.7,10140000.0,0.0,0.0,14.2
A1-00494,A1,29704236,1,8,1,8,1,0,1,78.0,78.0,78.0,10140000.0,0.0,0.0,4.7
A1-00496,A1,32869470,1,2,1,2,1,0,1,67.2,250.2,67.2,10140000.0,0.0,0.0,11.1
A1-00497,A1,31342124,2,9,1,9,1,0,2,67.1,67.1,67.1,10140000.0,0.0,0.0,6.0
A1-00499,A1,98934961,1,1,1,1,1,1,0,111.1,444.5,111.1,10140000.0,0.0,0.0,54.1
A1-00503,A1,86390636,2,2,1,2,1,1,0,73.3,223.5,73.3,10140000.0,0.0,0.0,23.7
A1-00505,A1,24385735,1,1,1,1,1,1,0,119.2,338.6,119.2,10140000.0,0.0,0.0,47.4
A1-00507,A1,18748474,2,2,1,2,1,1,0,73.3,242.4,85.8,10140000.0,0.0,0.0,30.1
A1-00508,A1,48691688,1,10,1,10,1,0,1,114.9,60.0,111.4,10140000.0,0.0,0.0,7.6
A1-00510,A1,94624291,2,2,1,2,1,1,0,87.1,278.5,103.6,10140000.0,0.0,0.0,49.6
A1-00512,A1,92810596,1,4,1,4,1,0,1,96.6,134.0,96.6,10140000.0,0.0,0.0,12.3
A1-00514,A1,72985085,3,3,1,3,1,1,0,93.0,183.4,93.0,10140000.0,0.0,0.0,46.9
A1-00516,A1,45919248,16,16,1,16,1,1,0,115.4,39.9,115.4,10140000.0,0.0,0.0,83.8
A1-00520,A1,51342981,6,6,1,3,2,2,0,117.1,210.5,62.4,10140000.0,0.0,0.0,91.0
A1-00523,A1,20005117,2,2,1,2,1,1,0,76.4,243.2,76.4,10140000.0,0.0,0.0,28.0
A1-00530,A1,80398288,7,90,2,15,3,0,7,42.8,42.8,42.8,10140000.0,0.0,0.0,5.4
A1-00539,A1,92475284,1,4,2,2,1,0,1,53.6,256.3,92.2,10140000.0,0.0,0.0,12.5
A1-00547,A1,74366579,4,4,1,4,1,1,0,113.4,162.5,114.5,10140000.0,0.0,0.0,83.2
A1-00548,A1,11176608,1,2,1,2,1,0,1,109.6,266.3,109.6,10140000.0,0.0,0.0,31.5
A1-00552,A1,38270318,4,16,1,8,2,0,4,75.7,75.7,48.8,10140000.0,0.0,0.0,11.0
A1-00553,A1,85554601,6,9,1,9,1,0,6,83.6,69.1,83.6,10140000.0,0.0,0.0,28.6
A1-00555,A1,88287546,2,2,1,2,1,1,0,65.3,261.3,65.3,10140000.0,0.0,0.0,22.0
A1-00558,A1,13355345,1,16,1,8,2,0,1,75.2,75.2,62.3,10140000.0,0.0,0.0,3.5
A1-00560,A1,72544030,4,4,1,4,1,1,0,107.7,153.1,115.9,10140000.0,0.0,0.0,75.4
A1-00567,A1,82779306,2,21,1,7,3,0,2,88.1,88.1,41.6,10140000.0,0.0,0.0,6.4
A1-00568,A1,77378154,1,2,1,2,1,0,1,79.9,233.9,128.5,10140000.0,0.0,0.0,23.7
A1-00571,A1,39700906,1,153,3,17,3,0,1,37.8,37.8,37.8,10140000.0,0.0,0.0,0.5
A1-00584,A1,52177396,4,9,1,9,1,0,4,71.6,71.6,71.6,10140000.0,0.0,0.0,14.5
A1-00588,A1,94658981,3,3,1,3,1,1,0,100.4,195.8,100.4,10140000.0,0.0,0.0,58.4
A1-00602,A1,36183710,2,20,1,10,2,0,2,103.7,61.3,61.3,10140000.0,0.0,0.0,7.7
A1-00603,A1,44078186,3,3,1,3,1,1,0,80.9,171.2,97.2,10140000.0,0.0,0.0,39.8
A1-00606,A1,83382943,1,6,2,3,1,0,1,56.4,176.3,119.2,10140000.0,0.0,0.0,11.7
A1-00609,A1,68409906,5,5,1,5,1,1,0,94.7,120.9,120.9,10140000.0,0.0,0.0,68.3
A1-00611,A1,26328187,2,2,1,2,1,1,0,84.6,245.8,126.9,10140000.0,0.0,0.0,52.0
A1-00612,A1,40261446,1,13,1,13,1,0,1,112.3,49.8,112.3,10140000.0,0.0,0.0,6.2
A1-00616,A1,83798039,9,9,1,9,1,1,0,65.7,65.7,65.7,10140000.0,0.0,0.0,25.2
A1-00617,A1,80461821,8,8,1,8,1,1,0,91.8,79.7,88.3,10140000.0,0.0,0.0,51.0
A1-00624,A1,46551101,7,8,1,8,1,0,7,108.1,73.9,108.1,10140000.0,0.0,0.0,59.6
A1-00630,A1,79616761,5,14,1,7,2,0,5,87.4,87.4,53.7,10140000.0,0.0,0.0,20.2
A1-00634,A1,79595985,1,3,1,3,1,0,1,110.8,195.7,113.2,10140000.0,0.0,0.0,24.2
A1-00639,A1,74405887,1,1,1,1,1,1,0,115.8,463.1,115.8,10140000.0,0.0,0.0,61.2
A1-00642,A1,35150800,5,5,1,5,1,1,0,66.4,122.6,122.6,10140000.0,0.0,0.0,49.2
A1-00645,A1,82401754,1,9,3,3,1,0,1,36.4,205.7,76.5,10140000.0,0.0,0.0,5.6
A1-00646,A1,67011338,4,4,1,4,1,1,0,113.6,160.2,129.3,10140000.0,0.0,0.0,92.8
A1-00648,A1,26998248,4,4,1,2,2,2,0,86.3,219.8,62.4,10140000.0,0.0,0.0,46.7
A1-00649,A1,75336730,2,2,1,2,1,1,0,76.1,248.6,105.1,10140000.0,0.0,0.0,39.2
A1-00653,A1,73796485,1,48,2,12,2,0,1,51.5,51.5,51.5,10140000.0,0.0,0.0,1.3
A1-00654,A1,28279972,4,4,2,2,1,1,0,51.3,221.1,86.4,10140000.0,0.0,0.0,38.7
A1-00656,A1,94658981,2,3,1,3,1,0,2,100.4,195.8,100.4,10140000.0,0.0,0.0,38.9
A1-00657,A1,32103535,2,4,1,4,1,0,2,78.0,162.4,118.3,10140000.0,0.0,0.0,29.6
A1-00658,A1,21652350,1,12,1,12,1,0,1,107.2,53.4,107.2,10140000.0,0.0,0.0,6.1
A1-00659,A1,94602868,2,2,1,1,2,2,0,109.3,361.0,63.2,10140000.0,0.0,0.0,49.2
A1-00660,A1,85593067,1,1,1,1,1,1,0,86.2,413.9,124.9,10140000.0,0.0,0.0,43.9
A1-00662,A1,70898188,56,56,2,14,2,2,0,44.9,44.9,44.9,10140000.0,0.0,0.0,50.0
A1-00663,A1,92871885,7,52,2,13,2,0,7,47.3,47.3,47.3,10140000.0,0.0,0.0,7.3
A1-00668,A1,44870648,2,2,1,2,1,1,0,71.6,234.7,71.6,10140000.0,0.0,0.0,23.7
A1-00669,A1,84050553,6,6,2,3,1,1,0,56.6,182.7,126.7,10140000.0,0.0,0.0,77.5
A1-00672,A1,33441857,1,5,1,5,1,0,1,119.8,111.7,112.7,10140000.0,0.0,0.0,14.9
A1-00675,A1,84714709,9,9,1,9,1,1,0,68.7,68.7,68.7,10140000.0,0.0,0.0,28.8
A1-00681,A1,88287546,2,2,1,2,1,1,0,65.3,261.3,65.3,10140000.0,0.0,0.0,22.0
A1-00683,A1,80461821,8,8,1,8,1,1,0,91.8,79.7,88.3,10140000.0,0.0,0.0,51.0
A1-00684,A1,42650816,14,14,1,7,2,2,0,81.5,81.5,59.3,10140000.0,0.0,0.0,54.4
A1-00687,A1,83798039,9,9,1,9,1,1,0,65.7,65.7,65.7,10140000.0,0.0,0.0,25.2
A1-00688,A1,20547743,1,2,1,2,1,0,1,87.4,244.5,87.4,10140000.0,0.0,0.0,18.4
A1-00689,A1,40348141,4,4,2,2,1,1,0,51.6,284.4,94.0,10140000.0,0.0,0.0,54.4
A1-00697,A1,15411360,3,52,2,13,2,0,3,46.6,46.6,46.6,10140000.0,0.0,0.0,3.0
A1-00700,A1,99926910,5,9,1,9,1,0,5,72.1,72.1,72.1,10140000.0,0.0,0.0,18.5
A1-00705,A1,71007565,2,3,1,3,1,0,2,76.6,189.5,77.7,10140000.0,0.0,0.0,22.2
A1-00707,A1,97407142,10,14,1,14,1,0,10,88.3,44.4,88.3,10140000.0,0.0,0.0,34.1
A1-00709,A1,92994676,7,8,1,8,1,0,7,79.2,79.2,79.2,10140000.0,0.0,0.0,34.3
A1-00710,A1,54030830,1,1,1,1,1,1,0,106.1,355.0,106.1,10140000.0,0.0,0.0,39.4
A1-00711,A1,38246109,1,3,1,3,1,0,1,69.4,198.6,119.9,10140000.0,0.0,0.0,16.3
A1-00712,A1,85853640,9,9,1,9,1,1,0,114.4,70.5,77.2,10140000.0,0.0,0.0,55.3
A1-00720,A1,22449434,1,1,1,1,1,1,0,117.4,469.8,117.4,10140000.0,0.0,0.0,63.9
A1-00721,A1,60991966,3,9,1,9,1,0,3,68.4,68.4,68.4,10140000.0,0.0,0.0,9.5
A1-00725,A1,87709292,1,2,1,2,1,0,1,110.0,249.6,113.9,10140000.0,0.0,0.0,30.8
A1-00726,A1,32334896,2,2,1,2,1,1,0,102.6,240.7,113.5,10140000.0,0.0,0.0,55.3
A1-00729,A1,76171864,2,12,1,6,2,0,2,108.2,108.2,55.5,10140000.0,0.0,0.0,12.8
A1-00733,A1,11414623,2,2,2,1,1,1,0,55.6,347.8,87.6,10140000.0,0.0,0.0,33.4
A1-00737,A1,75336730,2,2,1,2,1,1,0,76.1,248.6,105.1,10140000.0,0.0,0.0,39.2
A1-00741,A1,17760206,8,8,1,8,1,1,0,77.7,77.7,77.7,10140000.0,0.0,0.0,37.0
A1-00742,A1,40407245,2,9,1,9,1,0,2,108.5,65.9,108.5,10140000.0,0.0,0.0,15.3
A1-00743,A1,59841333,1,24,1,8,3,0,1,72.7,72.7,40.0,10140000.0,0.0,0.0,2.1
A1-00744,A1,72277066,3,3,1,3,1,1,0,83.5,163.2,83.5,10140000.0,0.0,0.0,33.7
A1-00747,A1,83474400,1,7,1,7,1,0,1,85.0,85.0,85.0,10140000.0,0.0,0.0,6.1
A1-00750,A1,24616905,1,5,1,5,1,0,1,67.2,121.3,121.3,10140000.0,0.0,0.0,9.8
A1-00753,A1,27913596,2,52,2,13,2,0,2,49.6,49.6,49.6,10140000.0,0.0,0.0,2.4
A1-00754,A1,26328187,2,2,1,2,1,1,0,84.6,245.8,126.9,10140000.0,0.0,0.0,52.0
A1-00759,A1,26351500,3,3,1,3,1,1,0,96.9,196.1,96.9,10140000.0,0.0,0.0,54.5
A1-00761,A1,46951218,3,10,2,5,1,0,3,55.1,125.7,125.7,10140000.0,0.0,0.0,25.8
A1-00767,A1,67276066,5,5,1,5,1,1,0,85.6,124.6,124.6,10140000.0,0.0,0.0,65.5
A1-00769,A1,61411957,2,4,2,2,1,0,2,52.3,253.4,69.8,10140000.0,0.0,0.0,18.2
A1-00773,A1,26926716,1,90,2,15,3,0,1,41.1,41.1,41.1,10140000.0,0.0,0.0,0.7
A1-00776,A1,97833595,1,6,2,3,1,0,1,44.0,176.1,109.7,10140000.0,0.0,0.0,8.4
A1-00777,A1,41246660,6,6,2,3,1,1,0,45.3,172.5,76.6,10140000.0,0.0,0.0,35.4
A1-00778,A1,31837461,2,6,3,2,1,0,2,39.3,227.2,111.8,10140000.0,0.0,0.0,19.7
A1-00781,A1,42665458,1,9,1,9,1,0,1,65.6,65.6,65.6,10140000.0,0.0,0.0,2.8
A1-00784,A1,96244059,15,15,3,5,1,1,0,35.8,126.8,126.8,10140000.0,0.0,0.0,85.1
A1-00786,A1,25349322,2,8,1,8,1,0,2,80.9,80.9,125.3,10140000.0,0.0,0.0,16.2
A1-00796,A1,23215957,2,2,1,2,1,1,0,114.5,226.5,120.9,10140000.0,0.0,0.0,61.8
A1-00798,A1,69569456,16,21,1,7,3,2,2,100.0,83.8,33.9,10140000.0,0.0,0.0,44.8
A1-00802,A1,24385735,1,1,1,1,1,1,0,119.2,338.6,119.2,10140000.0,0.0,0.0,47.4
A1-00803,A1,76869652,12,20,1,10,2,1,2,69.1,63.5,63.5,10140000.0,0.0,0.0,33.0
A1-00807,A1,53715542,1,16,1,8,2,0,1,77.2,77.2,53.5,10140000.0,0.0,0.0,3.1
A1-00812,A1,33597937,4,4,1,4,1,1,0,74.7,153.3,74.7,10140000.0,0.0,0.0,33.7
A1-00817,A1,68115412,1,1,1,1,1,1,0,69.8,429.7,107.4,10140000.0,0.0,0.0,31.8
